SERIES,CATEGORY,CODE,VALUE,NOTE,FLAG
EU,Year:2015,2015,10.9983,,
EU,Year:2016,2016,11.1315,,
EU,Year:2017,2017,11.3539,,
EU,Year:2018,2018,11.9016,,
EU,Year:2019,2019,11.9732,,
EU,Year:2020,2020,12.3224,,
PT,Year:2015,2015,7.97679,,
PT,Year:2016,2016,8.73376,,
PT,Year:2017,2017,8.56166,,
PT,Year:2018,2018,9.06008,,
PT,Year:2019,2019,8.80688,,
PT,Year:2020,2020,9.44128,,
RO,Year:2015,2015,6.86706,,
RO,Year:2016,2016,6.88903,,
RO,Year:2017,2017,7.54426,,
RO,Year:2018,2018,7.86593,,
RO,Year:2019,2019,7.77146,,
RO,Year:2020,2020,8.28947,,
